"id" "start" "end" "sex" "cod" "exposure" "n" "fu" "cases" "HR" "CI_left" "CI_right"
10003 "A02" "A02" "All" "All" 5 5672 24643.2183471817 510 1.46233554018571 1.34074036903756 1.59495848821594
10003 "A02" "A02" "All" "All" 6 4199 30834.8118496894 489 1.33264756536932 1.21957223920417 1.45620691943896
10004 "A03" "A03" "All" "All" 0 7378311 101648434.218519 1033980 1 NA NA
10004 "A03" "A03" "All" "All" 1 1136 536.81194700202 49 6.93511609971834 5.24140931448937 9.17612657794466
10004 "A03" "A03" "All" "All" 2 1083 522.541821992662 28 4.30277655991128 2.97086112460476 6.23182483058174
10004 "A03" "A03" "All" "All" 3 1089 1023.69206527435 36 2.88313434129633 2.07966747226753 3.99701574449248
10004 "A03" "A03" "All" "All" 4 1185 2910.82825810315 72 2.36620670044126 1.87816084930026 2.98107276131279
10004 "A03" "A03" "All" "All" 5 936 3836.13432143125 61 1.89427584413411 1.47385086433987 2.43462962263631
10004 "A03" "A03" "All" "All" 6 611 4134.49943109514 47 1.67327239516713 1.25718722376695 2.22706726213707
10005 "A04" "A04" "All" "All" 0 7376761 101500887.944277 1019213 1 NA NA
10005 "A04" "A04" "All" "All" 1 29928 12615.5207874841 6077 12.0435035990277 11.7428932183206 12.3518094087324
10005 "A04" "A04" "All" "All" 2 23080 10901.4120742571 1474 3.71817659376549 3.53289475838899 3.91317549145723
10005 "A04" "A04" "All" "All" 3 21161 19231.0299797889 1951 2.88937474086886 2.76374901862406 3.02071075807285
10005 "A04" "A04" "All" "All" 4 18787 43333.3679541882 3168 2.33943943012635 2.25912688363484 2.42260710847021
10005 "A04" "A04" "All" "All" 5 11785 41813.9429598024 1784 1.98850968958423 1.89818359701851 2.08313399809228
10005 "A04" "A04" "All" "All" 6 5902 32615.5083314619 606 1.56440805601515 1.44460843501368 1.69414251392068
10006 "A05" "A05" "All" "All" 0 7378461 101652635.047197 1034059 1 NA NA
10006 "A05" "A05" "All" "All" 1 1179 546.258649599522 50 5.22375408064739 3.95921087341516 6.89218320709006
10006 "A05" "A05" "All" "All" 2 1029 482.056493749531 14 1.66782023796244 0.987763470659231 2.81608343371987
10006 "A05" "A05" "All" "All" 3 943 840.184078149562 22 1.4821399746693 0.975908745156332 2.25096753709366
10006 "A05" "A05" "All" "All" 4 864 2082.04479377199 56 1.56864418265263 1.20718015661597 2.03834080462996
10006 "A05" "A05" "All" "All" 5 630 2535.74650797215 43 1.11347495197438 0.825784170757283 1.50139287307648
10006 "A05" "A05" "All" "All" 6 409 2277.38864435961 29 1.05972786080167 0.736416001212947 1.52498470580427
10007 "A06" "A06" "All" "All" 0 7378347 101650592.147084 1034140 1 NA NA
10007 "A06" "A06" "All" "All" 1 891 425.454060932705 28 7.20272683894749 4.97328752421428 10.4315854781975
10007 "A06" "A06" "All" "All" 2 866 419.050318137585 10 3.0907140145151 1.66296048853472 5.74428146993258
10007 "A06" "A06" "All" "All" 3 884 829.474234598398 13 2.14057728801781 1.24293152749307 3.6865032583247
10007 "A06" "A06" "All" "All" 4 972 2413.99024627592 27 1.59747787821425 1.09551183015639 2.32944592758948
10007 "A06" "A06" "All" "All" 5 793 3210.66082790628 25 1.11644776155279 0.75438670456006 1.6522767391601
10007 "A06" "A06" "All" "All" 6 489 3507.94959203533 30 1.20000333309023 0.839012537832636 1.71631284932586
10008 "A07" "A07" "All" "All" 0 7377702 101625183.098136 1033299 1 NA NA
10008 "A07" "A07" "All" "All" 1 2941 1406.93371509844 94 8.60555503667212 7.03035803112523 10.5336850785308
10008 "A07" "A07" "All" "All" 2 2879 1396.59979040347 42 3.98365197817867 2.94396863710989 5.39050684277192
10008 "A07" "A07" "All" "All" 3 2963 2769.21146792424 93 4.425359651366 3.61140874084154 5.42276143446858
10008 "A07" "A07" "All" "All" 4 3291 8196.26040122764 217 3.63934474828072 3.185873978213 4.15736161800967
10008 "A07" "A07" "All" "All" 5 2720 11040.7456396437 267 3.3758954096349 2.99424757699848 3.80618820712826
10008 "A07" "A07" "All" "All" 6 1774 11405.8772138633 261 2.92634346861838 2.59192675507528 3.30390744242953
10009 "A08" "A08" "All" "All" 0 7368402 101108642.064249 1024098 1 NA NA
10009 "A08" "A08" "All" "All" 1 43315 20807.7159742496 1707 4.7765494745691 4.55497291682947 5.00890461910524
10009 "A08" "A08" "All" "All" 2 42404 20562.7804476383 735 2.25713757183014 2.09963495925649 2.4264551300724
10009 "A08" "A08" "All" "All" 3 42839 40873.5688075455 1130 1.88720369042233 1.78022955654131 2.00060590841057
10009 "A08" "A08" "All" "All" 4 46789 120525.809162362 2663 1.79521971091878 1.7281857339702 1.86485384477019
10009 "A08" "A08" "All" "All" 5 39913 172996.42714275 2482 1.57542255683092 1.51452546911254 1.63876823677718
10009 "A08" "A08" "All" "All" 6 28044 176990.360580882 1458 1.44472996080535 1.37233489176596 1.52094410203526
10010 "A09" "A09" "All" "All" 0 7342901 99842215.7524516 994891 1 NA NA
10010 "A09" "A09" "All" "All" 1 182523 86393.0735758665 7538 5.95647140456873 5.82285936400542 6.0931493232973
10010 "A09" "A09" "All" "All" 2 173204 83189.1389400404 2970 2.56027311233009 2.46965572206143 2.65421546459477
10010 "A09" "A09" "All" "All" 3 170454 159105.527793997 4308 1.99291869685342 1.93412297499509 2.05350175951351
10010 "A09" "A09" "All" "All" 4 174684 424649.839426604 9816 1.79462393911627 1.75924297455322 1.8307164669321
10010 "A09" "A09" "All" "All" 5 129571 522915.79175088 8954 1.59080748413839 1.55799079423166 1.62431540735691
10010 "A09" "A09" "All" "All" 6 82525 542929.602425331 5796 1.40674790906502 1.37079054815629 1.44364847154839
10011 "A15" "A15" "All" "All" 0 7376700 101603820.802972 1032152 1 NA NA
10011 "A15" "A15" "All" "All" 1 4743 2170.9819821843 318 14.8678388251788 13.3200041317785 16.5955377449255
10011 "A15" "A15" "All" "All" 2 4503 2151.88807545475 103 5.30498078921708 4.37327004124554 6.43518943686061
10011 "A15" "A15" "All" "All" 3 4698 4313.4523766749 155 3.97972519508139 3.39997535255139 4.65833160128069
10011 "A15" "A15" "All" "All" 4 5418 13028.6522045063 444 3.45793104350801 3.15071146632426 3.79510698756755
10011 "A15" "A15" "All" "All" 5 4335 17523.9917883075 576 3.09003023193647 2.84763825739124 3.35305469699256
10011 "A15" "A15" "All" "All" 6 2794 18388.9569653417 525 2.60152990394496 2.3881610245178 2.83396210374315
10012 "A16" "A16" "All" "All" 0 7377421 101619749.06103 1032551 1 NA NA
10012 "A16" "A16" "All" "All" 1 3876 1761.4184070664 333 14.7513303917905 13.2487731465122 16.4242942287111
10012 "A16" "A16" "All" "All" 2 3600 1709.99968560521 115 5.65605586051556 4.71121452836584 6.79038657752846
10012 "A16" "A16" "All" "All" 3 3621 3367.23062354967 152 3.92041819166328 3.34414068977402 4.59600244825913
10012 "A16" "A16" "All" "All" 4 3994 9735.14590163934 380 3.28780295337403 2.97324584666814 3.63563890027071
10012 "A16" "A16" "All" "All" 5 3155 12818.9565087207 411 2.69398991689592 2.44568398168877 2.9675059110971
